date,portfolio_value,total_exposure,cash,num_positions,returns
2023-02-03,-3608878.911364042,33097618.579864502,-36706497.49122854,4,-0.01010263775786957
2023-02-06,-2787903.458702528,33908143.37134361,-36696046.83004614,4,-0.2274876693912713
2023-02-07,-2633473.9633679027,34060713.082551956,-36694187.04591986,4,-0.05539269835638272
2023-02-08,-3028153.338152134,33330109.655857086,-36358262.99400922,3,0.1498702399470404
2023-02-09,-2942014.638152682,33752555.310726166,-36694569.94887885,4,-0.02844595051187726
2023-02-10,-2910901.6990333432,33787444.26369667,-36698345.96273001,4,-0.010575385559221773
2023-02-13,-2897425.014340841,33455998.03328514,-36353423.04762598,3,-0.004629728546648448
2023-02-14,-2704737.1154665584,33656315.50550461,-36361052.620971166,3,-0.06650315294462206
2023-02-15,-2541959.843319618,34154015.719890594,-36695975.56321021,4,-0.060182289515726795
2023-02-16,-2310746.21407386,34378803.37238312,-36689549.58645698,4,-0.09095880481880847
2023-02-17,-2267793.7063395614,34421353.48916054,-36689147.1955001,4,-0.018588154541892887
2023-02-20,-2211596.837919914,34481657.47523308,-36693254.31315299,4,-0.024780414665827033
2023-02-21,-2203813.6336028213,34488370.12052536,-36692183.75412818,4,-0.0035192690564764817
2023-02-22,-2046849.093121254,34651405.27486801,-36698254.367989264,4,-0.07122405365328455
2023-02-23,-2055469.5340811843,34638030.17139435,-36693499.70547553,4,0.004211566445665449
2023-02-24,-2130417.15947982,34560977.36954689,-36691394.52902671,4,0.03646253284514778
2023-02-27,-1687213.8890444867,35001273.24461937,-36688487.133663855,4,-0.20803590905339386
2023-02-28,-1710361.6210639111,34985419.511795044,-36695781.132858954,4,0.01371950063339833
